Transaction ID,Wallet ID,Cryptocurrency,Amount,Transaction Type,Sender Type,Receiver Type,Sender,Receiver,Timestamp
TX0,Wallet45,USDT,34539.06651221019,bridge,drug_trafficker,drug_trafficker,Sender10,Receiver84,2022-06-19 04:23:06
TX1,Wallet66,Monero,81216.87475586202,mixer,drug_trafficker,legitimate_user,Sender38,Receiver26,2022-09-10 20:51:16
TX2,Wallet80,Bitcoin,97861.83443709298,direct,legitimate_user,legitimate_user,Sender30,Receiver20,2022-04-15 07:32:01
TX3,Wallet33,Monero,41466.19985243296,bridge,drug_trafficker,legitimate_user,Sender56,Receiver29,2022-03-01 00:36:53
TX4,Wallet18,Bitcoin,68182.03309214534,mixer,legitimate_user,drug_trafficker,Sender2,Receiver66,2022-08-10 03:38:55
TX5,Wallet83,Bitcoin,31542.841938134876,tumbler,drug_trafficker,legitimate_user,Sender43,Receiver85,2022-12-05 06:04:47
TX6,Wallet4,Bitcoin,65310.836015456596,direct,drug_trafficker,legitimate_user,Sender21,Receiver59,2022-08-16 13:53:21
TX7,Wallet70,USDT,94957.10584936368,bridge,legitimate_user,drug_trafficker,Sender1,Receiver51,2022-05-03 16:29:03
TX8,Wallet78,Bitcoin,60484.555926049405,tumbler,legitimate_user,drug_trafficker,Sender11,Receiver44,2022-11-24 02:57:34
TX9,Wallet95,Monero,56518.89100859887,direct,legitimate_user,drug_trafficker,Sender28,Receiver15,2022-10-27 01:36:10
TX10,Wallet12,Monero,13179.794922460595,direct,drug_trafficker,drug_trafficker,Sender39,Receiver20,2022-11-20 08:13:30
TX11,Wallet3,Monero,73519.40486031926,tumbler,drug_trafficker,drug_trafficker,Sender73,Receiver20,2022-09-27 02:56:52
TX12,Wallet62,Monero,44919.779329859826,bridge,legitimate_user,legitimate_user,Sender87,Receiver78,2022-10-14 11:56:16
TX13,Wallet22,Monero,69253.16208246068,direct,legitimate_user,drug_trafficker,Sender62,Receiver84,2022-02-09 00:36:59
TX14,Wallet71,USDT,41864.19958754291,bridge,drug_trafficker,drug_trafficker,Sender80,Receiver42,2022-03-09 22:15:11
TX15,Wallet2,Monero,65320.08545370517,tumbler,drug_trafficker,legitimate_user,Sender83,Receiver4,2022-11-13 06:35:22
TX16,Wallet70,Bitcoin,9956.917915390219,direct,drug_trafficker,drug_trafficker,Sender38,Receiver29,2022-09-03 19:25:23
TX17,Wallet47,Bitcoin,42894.64956370693,bridge,drug_trafficker,drug_trafficker,Sender10,Receiver74,2022-10-24 03:46:26
TX18,Wallet10,Monero,23074.241233256213,bridge,legitimate_user,legitimate_user,Sender86,Receiver98,2022-03-03 01:05:40
TX19,Wallet1,Monero,72918.826724666,tumbler,drug_trafficker,drug_trafficker,Sender63,Receiver9,2022-02-18 16:35:56
TX20,Wallet49,USDT,26726.261115522444,direct,legitimate_user,drug_trafficker,Sender31,Receiver30,2022-02-02 18:17:29
TX21,Wallet3,USDT,21874.945186183446,direct,legitimate_user,legitimate_user,Sender67,Receiver92,2022-06-08 07:11:22
TX22,Wallet71,Monero,97640.43889526039,bridge,legitimate_user,legitimate_user,Sender94,Receiver47,2022-06-10 18:32:27
TX23,Wallet82,USDT,46949.72361414527,mixer,legitimate_user,drug_trafficker,Sender37,Receiver95,2022-09-21 03:51:08
TX24,Wallet94,Monero,62898.18806929644,bridge,drug_trafficker,legitimate_user,Sender88,Receiver14,2022-11-18 20:55:00
TX25,Wallet37,USDT,22944.19115268619,mixer,drug_trafficker,drug_trafficker,Sender21,Receiver83,2022-05-23 03:58:19
TX26,Wallet62,USDT,64626.447268824115,direct,legitimate_user,legitimate_user,Sender54,Receiver12,2022-05-08 13:26:10
TX27,Wallet50,USDT,29570.544343501464,mixer,drug_trafficker,drug_trafficker,Sender54,Receiver59,2022-12-24 18:45:23
TX28,Wallet49,Monero,73169.37832953148,mixer,drug_trafficker,legitimate_user,Sender59,Receiver50,2022-11-10 12:13:57
TX29,Wallet40,Bitcoin,83303.81142055811,bridge,drug_trafficker,drug_trafficker,Sender23,Receiver80,2022-10-09 03:06:17
TX30,Wallet90,Monero,96157.01583844831,direct,drug_trafficker,legitimate_user,Sender24,Receiver25,2022-05-05 12:49:23
TX31,Wallet26,Bitcoin,84894.35704185627,tumbler,legitimate_user,legitimate_user,Sender30,Receiver34,2022-04-22 23:51:22
